Instancia,Equipo1,Resultado,Equipo2,IDTorneo,Cancha,Horario
Semifinal,Equipo A,14 - 15,Club A,1,Cancha 1,10:00 AM
Final,Equipo B,14 - 16,Club B,1,Cancha 2,12:00 PM
Cuartos,Equipo C,14 - 17,Club C,1,Cancha 1,02:00 PM
Octavos,Equipo D,13 - 18,Club D,1,Cancha 3,04:00 PM
Semifinal,Equipo E,15 - 13,Club E,1,Cancha 2,06:00 PM
Final,Equipo F,16 - 14,Club F,1,Cancha 1,08:00 PM
Cuartos,Equipo G,17 - 16,Club G,2,Cancha 3,10:00 AM
Semifinal,Equipo H,15 - 17,Club H,2,Cancha 1,12:00 PM
Final,Equipo I,16 - 15,Club I,2,Cancha 2,02:00 PM
Cuartos,Equipo J,14 - 13,Club J,2,Cancha 3,04:00 PM
Semifinal,Equipo K,12 - 14,Club K,2,Cancha 1,06:00 PM
Final,Equipo L,13 - 15,Club L,2,Cancha 2,08:00 PM
Cuartos,Equipo M,18 - 16,Club M,3,Cancha 3,10:00 AM
Semifinal,Equipo N,17 - 18,Club N,3,Cancha 1,12:00 PM
Final,Equipo O,19 - 18,Club O,3,Cancha 2,02:00 PM
Cuartos,Equipo P,16 - 15,Club P,3,Cancha 3,04:00 PM
Semifinal,Equipo Q,17 - 16,Club Q,3,Cancha 1,06:00 PM
Final,Equipo R,19 - 20,Club R,3,Cancha 2,08:00 PM
Cuartos,Equipo S,13 - 12,Club S,4,Cancha 3,10:00 AM
Semifinal,Equipo T,15 - 14,Club T,4,Cancha 1,12:00 PM
Final,Equipo U,16 - 17,Club U,4,Cancha 2,02:00 PM
Cuartos,Equipo V,18 - 17,Club V,4,Cancha 3,04:00 PM
Semifinal,Equipo W,20 - 19,Club W,4,Cancha 1,06:00 PM
Final,Equipo X,21 - 20,Club X,4,Cancha 2,08:00 PM
Cuartos,Equipo Y,14 - 13,Club Y,5,Cancha 3,10:00 AM
Semifinal,Equipo Z,15 - 16,Club Z,5,Cancha 1,12:00 PM
Final,Equipo AA,17 - 18,Club AA,5,Cancha 2,02:00 PM
Cuartos,Equipo BB,16 - 15,Club BB,5,Cancha 3,04:00 PM
Semifinal,Equipo CC,19 - 18,Club CC,5,Cancha 1,06:00 PM
Final,Equipo DD,20 - 19,Club DD,5,Cancha 2,08:00 PM
Cuartos,Equipo EE,12 - 11,Club EE,6,Cancha 3,10:00 AM
Semifinal,Equipo FF,14 - 13,Club FF,6,Cancha 1,12:00 PM
